depa_nombre,muni_nombre,codigo_habilitacion,nombre_prestador,tido_codigo,nits_nit,razon_social,clpr_codigo,clpr_nombre,ese,direccion,telefono,fax,email,gerente,nivel,caracter,habilitado,fecha_radicacion,fecha_vencimiento,fecha_cierre,dv,clase_persona,naju_codigo,naju_nombre,numero_sede_principal,fecha_corte_REPS
Bolívar,ACHÍ,"1,300,600,159",ESE HOSPITAL LOCAL SAN JOSE DEACHI,,"806,007,813",ESE HOSPITAL LOCAL SAN JOSE DEACHI,1,Instituciones - IPS,SI,CALLE SAN JOSE,3116599802 - 3116681381,,esehospitalachi@yahoo.com,MAIRA ALEJANDRA MACHADO VILLARREAL,1,MUNICIPAL,SI,"20,030,407","20,210,831",,7,JURIDICO,4,Pública,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ACHÍ,"1,300,600,929",GLOBALSALUD PLUS IPS SAS,,"901,231,129",GLOBALSALUD PLUS IPS SAS,1,Instituciones - IPS,,CALLE 14 #11-56,3145925419 - 3016768339,,globalsaludplusipsachi@gmail.com,NUBIA GARCIA SANCHEZ,,,SI,"20,190,424","20,230,423",,0,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ALTOS DEL ROSARIO,"1,303,000,306",ESE CENTRO DE SALUD CON CAMA MANUEL H ZABALETA G.,,"900,063,533",ESE CENTRO DE SALUD CON CAMA MANUEL H ZABALETA G.,1,Instituciones - IPS,SI,BARRIO CENTRO CALLE LAS FLORES,3143024556,,esemanuelhzabaleta@hotmail.com y karen0401polanco@hotmail.com,KAREN JULIETH MUÑOZ POLANCO,1,MUNICIPAL,SI,"20,110,328","20,210,831",,9,JURIDICO,4,Pública,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARENAL,"1,304,200,268",ESE HOSPITAL LOCAL MANUELA PABUENA LOBO,,"806,007,809",E.S.E. HOSPITAL LOCAL MANUELA PABUENA LOBO,1,Instituciones - IPS,SI,calle 15 No. 14-21,3207495263 - 3017899711 - 3162413587,,gerentehmpl@gmail.com - hmanuelapl@hotmail.com,TERESITA DEL CARMEN SEQUEA PALOMINO,1,MUNICIPAL,SI,"20,030,421","20,210,831",,7,JURIDICO,4,Pública,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARJONA,"1,305,200,858",BIENESTAR IPS S.A.S.,,"800,223,206",BIENESTAR IPS S.A.S.,1,Instituciones - IPS,,Calle 52 No 42 - 06 Calle Simón Bossa,3163706798,,edgardozambranob@cecam-ips.com,EDGARDO RAFAEL ZAMBRANO BROCHERO,,,SI,"20,170,627","20,210,831",,1,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARJONA,"1,305,200,882",CAMINEMOS IPS S.A.S.,,"900,589,483",CAMINEMOS IPS S.A.S.,1,Instituciones - IPS,,CALLE REAL # 43-40,6294519 - 3107365444,,caminemos_17@yahoo.com.co,LEICY LORENA REYES MARTINEZ,,,SI,"20,170,721","20,210,831",,7,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARJONA,"1,305,200,153",CIAMED LTDA I.P.S.,,"806,003,072",CIAMED LTDA I.P.S.,1,Instituciones - IPS,,20 DE JULIO CALLE 44-61,3147934025 - 3147934100 - 3147934039,,capsmargaritaips@gmail.com,WILMAN ADAN SIMANCAS COTA,,,SI,"20,160,718","20,210,831",,8,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARJONA,"1,305,200,376",clínica nuestra señora de la torcoroma ltda,,"830,505,837",clínica nuestra señora de la torcoroma ltda,1,Instituciones - IPS,,"Calle juncal No 43-50 Arjona,Bolivar",3014423815,,clinicatorcoromaarjona2015@hotmail.com,Yulieth Amparo Sanguino Villegas,,,SI,"20,151,223","20,210,831",,7,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARJONA,"1,305,200,781",EMPRENDER IPS,,"900,752,648",EMPRENDER IPS,1,Instituciones - IPS,,calle del coco cra 41 N° 45 -132,3017396739 - 3015803602,,emprenderips@hotmail.com,JOSÉ JAVIER POLO TORRES,,,SI,"20,141,216","20,210,831",,3,JURIDICO,1,Privada,1,Fecha corte REPS: Mar 15 2021 1:16PM
Bolívar,ARJONA,"1,305,200,030",ESE HOSPITAL LOCAL ARJONA,,"806,007,923",E.S.E. HOSPITAL LOCAL ARJONA,1,Instituciones - IPS,SI,Barrio San Josè de Turbaquito No. 46-14 Arjona Bolìvar,6291614 - 3145943919,"6,294,786",esehospiarjona@yahoo.com,MARIA JOSE DE LOS ANGELES GUERRERO MASS,1,MUNICIPAL,SI,"20,030,312","20,210,831",,9,JURIDICO,4,Pública,1,Fecha corte REPS: Mar 15 2021 1:16PM
