1. Proceso,2. Nombre del Activo,3. Descripción,4. Tipo de Activo,5. Medio de Conservación del Activo,6. Propietario,7. Custodio,8. Respaldo,9. Ubicación,10. Valoracion de Activo - Confidencialidad,10. Valoracion de Activo - Integridad,10. Valoracion de Activo - Disponibilidad,11. ¿El Activo necesita de permisos especiales para acceder?,12. El activo contiene datos personales.,13. Verificar si el activo requiere cumplimiento legal,14. El activo requiere protección especial,15.¿El activo es para uso exclusivo del propietario o responsable?
Gestión documental,Servicio 4-72 para el envío de la correspondencia,Servicio que ofrece a la entidad el envió y recepción de correspondencia.,Servicio,Físico,Gestión Documental,Secretaria General,No Aplica,Oficinas de la UPRA,En proceso de revisión,En proceso de revisión,2,No Aplica,En proceso de revisión,En proceso de revisión,En proceso de revisión,En proceso de revisión
Gestión de información agropecuaria,Sistema para la eficiencia administrativa - SEA,Sistema que realiza la gestión administrativa de la UPRA,Software,Digital,Sistemas de Información,Grupo de Servicios Tecnológicos,SI,Data Center de la UPRA,En proceso de revisión,En proceso de revisión,5,SI,En proceso de revisión,En proceso de revisión,En proceso de revisión,En proceso de revisión
Gestión de información agropecuaria,Sistema de gestión de contenidos del portal UPRA - Liferay,Sistema que realiza la gestión de los contenidos de la UPRA en el portal web.,Software,Digital,Sistemas de Información,Grupo de Servicios Tecnológicos,SI,Data Center de la UPRA,En proceso de revisión,En proceso de revisión,4,SI,En proceso de revisión,En proceso de revisión,En proceso de revisión,En proceso de revisión
Gestión documental,Tablas de retención documental -TRD- publicadas en página web,"Listado de series, con sus correspondientes tipos documentales, a las cuales se asigna el tiempo de permanencia en cada etapa del ciclo vital de los documentos, publicadas en la pagina web de la UPRA.",Información,Físico / Digital,Secretaria General - Gestión Documental,Secretaria General,SI,Data Center de la UPRA,1,1,5,NO,NO,No Aplica,NO,NO
Gestión documental,"Plan institucional de archivos - PINAR-, publicado en página web","Instrumento archivístico que permite generar cambios planificados, articulando y dando un ordenamiento lógico a los planes y proyectos que en materia archivística formule la Entidad. publicado en la pagina web de la UPRA.",Información,Físico / Digital,Secretaria General - Gestión Documental,Secretaria General,SI,Data Center de la UPRA,1,1,5,NO,NO,No Aplica,NO,NO
Gestión documental,"Programa de gestión documental -PGD-, publicado en página web","Conjunto de actividades administrativas y técnicas tendientes a la planificación, manejo y organización de la documentación producida y recibida por las entidades, desde su origen hasta su destino final, con el objeto de facilitar su utilización y conservación, publicadas en la página web de la UPRA",Información,Físico / Digital,Secretaria General - Gestión Documental,Secretaria General,SI,Data Center de la UPRA,1,1,5,NO,NO,No Aplica,NO,NO
Gestión documental,"Inventario Unico de Inventario Documental -FUID- de eliminación de archivos, publicado en página web",Instrumento de recuperación de información que describe de manera exacta y precisa las series o asuntos de un fondo documental que se tienen como disposición final su eliminación.,Información,Físico / Digital,Secretaria General - Gestión Documental,Secretaria General,SI,Data Center de la UPRA,1,1,5,NO,NO,No Aplica,NO,NO
Gestión documental,Módulo de proyección de comunicaciones externas/internas en SEA,"Componente tecnológico existente en el Sistema de Eficiencia Administrativa (SEA) de la UPRA, en donde se realiza la producción documental de las comunicaciones oficiales externas e internas generadas por las áreas de la entidad",Software,Digital,Secretaria General - Gestión Documental,Grupo de Servicios Tecnológicos,SI,Data Center de la UPRA,3,1,5,SI,SI,No Aplica,NO,NO
Evaluación independiente,Token USB,Dispositivo usado para realizar consultas en SIIF Nación.,Hardware,Físico,Asesoría de Control Interno,Asesor de Control Interno,No Aplica,Asesoría de Control Interno,2,2,2,SI,NO,NO,SI,SI
Evaluación independiente,Sistema para la eficiencia administrativa relacionados con Control Interno,Sistema que permite la gestión de información en desarrollo de las actividades del proceso Evaluación Independiente.,Software,Digital,Asesoría de Control Interno,Grupo de Servicios Tecnológicos,SI,Data Center de la UPRA,3,4,3,SI,SI,SI,SI,NO
Evaluación independiente,Asesor de control interno,Persona que asesora a la entidad en todos los temas que tienen que ver con el proceso de control interno de la entidad.,Personal,No Aplica,Asesoría de Control Interno,Asesor de Control Interno,No Aplica,Asesoría de Control Interno,En proceso de revisión,En proceso de revisión,5,No Aplica,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Asesor de comunicaciones,"Asesorar a la Dirección general en la formulación e implementación de la estrategia de comunicación, la divulgación de la información de los procesos institucionales y el manejo de las comunicaciones internas y externas de la UPRA.",Rol,No Aplica,Asesoría de Comunicaciones,Asesoría de Comunicaciones,NO,No Aplica,0,0,5,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica
Gestión del conocimiento y comunicaciones,Noticias,"Publicación de noticias sobre eventos, actividades y avances logrados por la entidad en el desarrollo de su misionalidad o de relevancia para el sector agropecuario. Allí se publican noticias a medida que van surgiendo, desde octubre de 2014.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/web/guest/sala-de-prensa/noticias,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 001, con corte a 28 de mayo de 2013, contiene noticias sobre el segundo panel sobre Gobernanza de la tierra",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-001,0,5,5,NO,NO,No Aplica,NO,NO
